market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
경창시장,양천구,23.86,-2.15,24.78,,237105,124554.27
목2동시장,양천구,21.24,-13.96,6.38,,406587,243260.24000000002
목3동 골목형상점가,양천구,21.94,-16.37,7.49,,323797,218840.33000000002
목동깨비시장,양천구,21.98,-18.85,4.25,,526239,359830.4799999999
목동로데오골목형상점가,양천구,21.7,-16.31,5.47,,300492,164684.79000000004
목사랑시장,양천구,21.22,-11.49,6.09,,228753,81838.93
서서울골목형상점가,양천구,23.14,-6.95,15.81,,569606,280072.29
신영시장,양천구,22.81,-9.11,15.47,,634318,343532.50000000006
월정로시장,양천구,22.56,-9.71,15.18,,605650,325385.85000000003
강서구청먹자골목 골목형상점가,강서구,24.06,-16.13,10.41,,1276177,735435.9499999997
강서수산시장 골목형상점가,강서구,19.63,-32.38,-29.21,,832269,215772.50999999992
강서행복한길골목형상점가,강서구,24.04,-9.59,16.69,,1302988,698414.7400000003
공항대로 골목형상점가,강서구,22.89,-20.77,-3.25,,1102888,681813.8499999994
까치산시장,강서구,23.96,-7.56,20.55,,1351956,753731.7200000002
남부골목시장,강서구,21.06,-14.99,5.44,,1129145,518087.06999999995
방신전통시장,강서구,19.24,-19.73,-0.47,,1330172,559221.1900000003
봉제산길 골목형상점가,강서구,21.29,-16.65,4.71,,421315,244856.15999999997
송화벽화시장,강서구,24.03,-12.35,13.8,,1249810,618163.9699999999
화곡본동시장,강서구,24.38,-9.06,16.65,,1334679,724835.8800000001
화곡중앙시장,강서구,23.52,-8.94,15.91,,1212734,636029.1900000002
가양역사거리 골목형상점가,강서구,24.64,-18.9,5.47,,1345710,822269.0199999996
공항골목시장 골목형상점가,강서구,22.64,-21.91,-7.63,,951745,310735.36000000004
공항동 먹자골목 골목형상점가,강서구,23.9,-15.83,3.97,,994340,393643.43
송정역 카페거리 골목형상점가,강서구,24.28,-12.87,11.36,,1136223,483109.64999999985
