market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,22.04,-25.05,-12.55,,26709,11546.629999999997
가리봉시장,구로구,27.45,-32.41,-25.59,,794940,559528.68
개봉입구골목상가 골목형상점가,구로구,20.13,-9.64,15.76,,873971,405127.49000000017
개봉중앙 골목형상점가,구로구,19.55,-13.06,15.07,,1165779,659521.5300000004
개봉중앙시장,구로구,19.99,-12.17,15.45,,1052902,577462.9200000002
개봉프라자,구로구,19.48,-13.32,6.36,,1141381,468658.18999999994
고척골목시장상점가,구로구,18.09,-21.23,1.16,,915669,407911.2300000003
고척근린시장,구로구,19.48,-13.46,6.19,,1169080,480382.40999999986
고척프라자,구로구,18.16,-20.85,1.78,,924243,408226.32999999984
구로시장,구로구,19.84,-18.84,-2.08,,1431734,756273.2100000001
그라운드고척 골목형상점가,구로구,19.52,-24.81,-5.29,,925577,412411.2699999998
남구로시장,구로구,19.74,-19.43,-2.21,,1404308,695871.8900000002
오류버들시장 골목형상점가,구로구,21.75,-11.98,12.19,,1026918,411478.9499999999
오류시장,구로구,22.94,-10.23,14.43,,1278946,596191.7600000002
극동종합상가 골목형상점가,구로구,20.63,-20.76,-2.42,,1435881,845560.7699999999
오류골먹자골목 골목형상점가,구로구,22.85,-10.07,14.25,,1258253,577411.4999999999
대림중앙골목형상점가,영등포구,21.77,-19.44,2.97,,407803,258680.16
대림중앙시장,영등포구,21.2,-15.91,10.71,,134890,86496.94
강남골목시장,관악구,32.95,7.18,59.03,,198490,255895.70999999996
