market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
말죽거리 골목형상점가,서초구,24.97,-28.93,-15.65,,380364,337000.9100000001
양재시장,서초구,24.96,-28.55,-15.13,,551404,440545.06000000006
강남개포시장,강남구,18.39,-10.67,8.09,,1018923,297683.30999999994
강남언주로 상가,강남구,31.59,-29.74,-21.74,,1182529,1140680.6299999997
강남역지하도상점,강남구,32.8,-33.08,-25.54,,1214456,1714936.4299999992
논현종합시장,강남구,34.22,-22.0,-13.64,,1276017,1087442.7300000002
도곡시장,강남구,20.82,-19.11,-13.92,,1362932,992395.7800000001
신사시장,강남구,25.47,-22.77,-9.9,,859128,504097.3300000001
영동전통시장,강남구,37.83,-6.72,17.82,,915204,738715.8699999998
은마종합상점,강남구,19.8,-14.85,-19.94,,1195734,789032.8399999999
청담삼익시장,강남구,25.34,-24.83,-14.64,,864197,409081.81999999983
