market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
풍납시장,송파구,26.89,-8.99,16.54,,126125,65012.5
고덕골목형상점가,강동구,16.18,-9.61,3.43,,911153,163591.21999999994
고분다리전통시장,강동구,22.95,-11.05,14.98,,1360437,679088.9500000005
길동복조리시장,강동구,21.55,-8.23,12.28,,1406684,721092.81
둔촌역전통시장,강동구,22.32,-14.53,0.89,,1291325,653873.6400000006
명일전통시장,강동구,19.02,-11.19,7.86,,1364497,717518.5199999998
성내전통시장,강동구,23.35,-14.03,11.32,,1430827,815867.56
암사종합시장,강동구,20.87,-8.75,10.11,,1241123,567219.5000000002
장신구거리,강동구,22.02,-19.3,-5.44,,1129190,524322.23
천호로데오거리상점가,강동구,25.17,-10.66,22.69,,1426027,1171561.1100000006
