market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
꿈의숲장곡골목형상점가,성북구,17.28,-5.49,4.34,,103707,18371.16
밤나무골시장,성북구,19.53,-9.95,17.02,,153240,68037.87999999999
강북북부골목시장,강북구,26.37,-2.47,31.86,,1218163,634208.3200000003
강북북부시장,강북구,26.46,-2.52,32.31,,1281428,716185.6000000001
동북프라자,강북구,16.72,-11.25,3.78,,1299563,483715.5599999999
미소상인회 골목형상점가,강북구,22.81,-6.03,21.6,,1230852,672653.0300000003
방천골목시장,강북구,22.18,-6.75,21.82,,843166,505550.16999999975
백년시장,강북구,25.72,-3.74,30.56,,1429415,934113.1599999999
삼양시장 골목형상점가,강북구,18.41,-12.47,1.2,,1207468,331252.66000000003
솔샘시장 골목형상점가,강북구,16.79,-11.05,4.26,,1312991,502094.61000000045
수유북부시장,강북구,20.39,-16.79,-0.45,,1173204,336214.27
수유시장,강북구,22.65,-18.33,-5.55,,1313293,531602.8
수유재래시장,강북구,22.39,-18.36,-3.94,,1366101,542762.4500000002
수유전통시장,강북구,22.39,-18.36,-3.94,,1366101,542762.4500000002
수유중앙골목시장골목형상점가,강북구,21.88,-11.47,11.69,,1355353,594785.4399999998
수유중앙시장,강북구,23.63,-7.64,21.18,,1410521,794332.6399999997
수유프라자,강북구,23.01,-18.02,-4.4,,1297083,545353.8400000001
숭인시장,강북구,22.87,-5.91,23.9,,1016517,617631.2499999998
어진이골목시장,강북구,19.87,-16.69,-1.25,,1060162,278729.9100000001
오패산로 골목형상점가,강북구,21.87,-6.06,19.76,,935543,479548.24
우이골목시장골목형상점가,강북구,20.45,-16.01,-1.71,,1005371,421255.6100000001
우이시장,강북구,20.34,-16.08,-1.62,,1084268,454206.47
장미원골목시장,강북구,20.11,-18.34,-7.36,,1305708,523645.25999999983
숭인사랑골목형상점가,강북구,17.72,-10.08,8.19,,1183980,449628.73999999993
인수로골목형상점가,강북구,20.09,-19.23,-12.5,,1027495,305440.77
백운시장,도봉구,19.99,-18.11,-11.5,,331118,84642.17999999996
쌍문역둘러상점가,도봉구,25.9,-5.51,28.19,,51925,18907.079999999998
창동골목시장,도봉구,20.26,-7.41,14.73,,199789,73756.17
창동신창시장,도봉구,24.96,-2.05,31.28,,424513,194807.19
