market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
사당1동먹자골목상점가,동작구,27.15,-11.84,16.13,,188360,124177.19999999998
숭실마루길 골목형상점가,동작구,31.56,-18.4,-19.45,,195259,79919.60999999999
강남골목시장,관악구,21.63,-11.67,11.65,,699270,287503.77999999985
관악신사시장,관악구,24.92,-7.27,19.75,,1091998,468799.76999999996
관악종합시장,관악구,37.97,14.51,59.76,,1426071,1122272.56
관악중부시장,관악구,27.89,-5.15,29.1,,1403624,971606.2
난곡골목형상점가,관악구,31.22,-4.5,34.42,,1170969,725589.7
남현동 예술인마을 골목형상점가,관악구,27.72,-10.4,15.34,,422221,218264.38000000006
녹두 골목형상점가,관악구,34.17,-9.6,16.6,,749632,419592.9600000001
녹두S밸리 골목형상점가,관악구,33.47,-7.07,18.06,,680622,532598.4199999998
미성동도깨비시장,관악구,19.08,-7.43,11.96,,1124204,483666.31000000006
봉리단길 골목형상점가,관악구,25.04,-7.64,29.32,,829525,428535.3899999999
봉일시장,관악구,25.34,-7.99,22.52,,1210972,741541.5699999997
봉천달빛길 골목형상점가,관악구,23.91,-9.09,26.34,,920679,528412.1199999999
봉천제일종합시장,관악구,25.61,-8.28,29.31,,856278,472399.25999999995
봉천중앙시장,관악구,28.38,-5.08,30.44,,1436291,1076385.4700000002
봉천현대시장,관악구,22.44,-11.52,15.95,,1372229,848285.5599999996
삼성동시장,관악구,32.67,-4.95,19.3,,582832,689667.1399999998
서림 행복가득한 골목형상점가,관악구,31.71,-1.73,21.22,,976277,407543.64999999985
서원동상점가,관악구,37.41,13.62,57.94,,1399071,1030356.6100000005
신림종합시장,관악구,24.36,-7.45,20.11,,1274933,573884.9600000002
신림중앙시장,관악구,23.17,-8.71,17.82,,1152444,535734.7300000001
신림현대종합상가,관악구,32.15,-0.92,23.78,,959560,494343.3300000001
신신림시장,관악구,33.31,-4.28,20.11,,584203,658738.5800000001
신원시장,관악구,38.11,14.63,60.26,,1442184,1127487.61
우림시장,관악구,19.04,-6.4,11.42,,1170296,457262.2499999998
원당종합시장,관악구,31.17,-5.6,25.81,,1105073,538373.6099999998
인헌시장,관악구,31.22,-5.5,25.86,,1118533,537977.5799999997
조원동펭귄시장,관악구,23.06,-9.03,17.31,,1149602,536197.1600000001
행운담길 골목형상점가,관악구,31.8,-3.06,35.4,,1342173,747159.2300000003
신림별빛거리 골목형상점가,관악구,35.19,5.21,39.86,,1114386,554396.6500000001
