market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
송정벚꽃골목형상점가,성동구,34.71,-10.56,5.8,,491847,230948.30999999997
건리단길골목형상점가,광진구,42.49,4.76,38.56,,1320270,800174.04
광성시장,광진구,21.39,-11.39,8.7,,1307058,558337.5500000003
노룬산골목시장,광진구,31.17,-1.58,33.56,,1181834,616714.6699999999
노룬산시장,광진구,30.87,-2.19,32.16,,1115996,570112.6900000002
면곡시장 골목형상점가,광진구,21.93,-7.7,11.54,,513356,193559.57000000004
신성시장,광진구,20.0,-11.35,9.78,,1288302,590064.4499999997
신성전통시장,광진구,19.95,-11.45,9.39,,1275176,575508.5900000002
영동교골목시장,광진구,31.48,-2.28,33.13,,1034768,538287.9599999997
자양15번가 골목형상점가,광진구,28.48,-8.04,13.05,,1369017,890047.1100000001
자양전통시장,광진구,26.84,-9.45,10.48,,1340181,846152.3899999995
자양종합시장,광진구,25.15,-9.24,10.56,,1244654,648388.87
자양한강전통시장,광진구,30.38,-0.29,34.58,,1191463,577794.04
조양시장,광진구,35.95,-3.17,31.01,,1390186,913659.1399999998
중곡제일골목시장,광진구,21.14,-10.83,9.59,,1317935,560526.94
중곡제일시장,광진구,21.31,-11.26,8.85,,1319070,561346.6300000005
한아름시장,광진구,42.06,2.29,35.58,,1370276,880014.4000000003
화양제일골목시장,광진구,41.98,3.71,38.97,,1279299,809452.1699999999
자마장시장골목형상점가,광진구,26.25,-9.79,9.63,,1344516,813599.1299999997
