market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
가리봉시장,구로구,31.5,-33.67,-24.0,,570818,577883.9299999999
대명여울빛거리시장,금천구,18.97,-7.88,15.16,,1206738,716205.4400000001
독산동 맛나는거리상점가,금천구,20.75,-14.94,6.24,,1418825,833536.89
독산동 우시장,금천구,21.88,-16.59,2.62,,1287651,745188.1500000003
법원단지길 상점가,금천구,18.99,-8.02,12.42,,1270605,598443.0299999996
별빛남문시장,금천구,20.11,-11.28,11.94,,1355570,600136.8499999999
비단길현대시장,금천구,19.22,-9.01,10.51,,1319862,636359.6899999997
아름다운 별장거리,금천구,18.18,-6.38,14.47,,1233551,556269.8499999999
은행나무시장,금천구,17.77,-5.47,14.96,,1298571,587042.63
정훈한마음골목시장,금천구,20.22,-11.71,5.83,,1405380,730482.3000000002
천리단길 상점가,금천구,19.89,-7.88,10.26,,891696,413549.69999999995
강남골목시장,관악구,20.52,-12.32,10.71,,196975,94218.14
미성동도깨비시장,관악구,20.87,-7.57,15.44,,12957,2623.2799999999997
신림중앙시장,관악구,21.31,-9.81,12.51,,30425,14185.56
조원동펭귄시장,관악구,21.43,-11.7,11.04,,51521,25652.039999999997
