market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
묵동도깨비시장 골목형상점가,중랑구,24.24,-2.36,25.24,,252266,151853.72999999998
석계음식문화거리,성북구,21.72,-1.93,31.2,,409312,210810.31000000006
오!도봉거리상점가,도봉구,16.94,-6.6,4.73,,71277,14163.02
창동역상점가,도봉구,19.45,-6.98,3.04,,255403,78707.32
공릉동도깨비시장,노원구,25.87,-8.83,11.35,,1349720,702278.9199999999
공릉철길 골목형상점가,노원구,27.94,-7.35,12.74,,1302786,648381.9700000003
상계역전종합상가 상점가,노원구,18.57,-6.47,14.7,,1368015,636985.1599999999
상계주공15단지 상가 상점가,노원구,19.6,-8.4,4.58,,926873,388190.9100000001
상계주공1단지 가상가 상점가,노원구,21.12,-15.31,-1.5,,790198,319605.7700000001
상계중앙시장,노원구,19.54,-5.64,16.69,,1362586,666010.6499999999
중계 씨앤미상가 상점가,노원구,19.19,-15.07,-2.8,,1343072,731537.1
중계동 시영2단지 무지개종합상가 상점가,노원구,18.81,-14.29,-1.26,,1285334,660817.6900000004
중계동시영B상가상점가,노원구,18.84,-13.61,-1.78,,1134806,549928.3199999998
