market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
강북북부골목시장,강북구,18.92,-9.47,12.82,,39752,20047.3
강북북부시장,강북구,18.92,-9.47,12.82,,39752,20047.3
백년시장,강북구,26.09,-5.39,27.37,,40102,13422.55
우이골목시장골목형상점가,강북구,21.24,-15.82,-4.97,,244751,57120.52000000002
우이시장,강북구,21.19,-16.71,-6.22,,173383,42685.44999999999
도봉산옛길골목형상점가,도봉구,18.51,-13.93,16.16,,723702,212435.32000000004
방학동도깨비시장,도봉구,18.1,-9.35,7.2,,1329202,558715.58
백운시장,도봉구,20.32,-18.48,-10.65,,458078,121010.87
신도봉시장,도봉구,19.0,-8.57,9.34,,1099184,398768.03000000026
쌍리단길상점가,도봉구,19.33,-8.04,6.58,,624287,156402.83
쌍문시장,도봉구,20.58,-10.46,10.94,,1291917,637541.8400000002
쌍문역둘러상점가,도봉구,20.95,-10.16,11.75,,1246726,612168.5500000002
오!도봉거리상점가,도봉구,18.87,-10.81,5.49,,858225,249866.50000000012
창동골목시장,도봉구,19.5,-7.38,9.07,,1066188,433336.98000000004
창동신창시장,도봉구,19.67,-8.1,10.17,,939733,414165.08999999985
창동역상점가,도봉구,18.52,-6.76,11.89,,729226,269242.3699999999
상계주공15단지 상가 상점가,노원구,18.47,-4.81,8.8,,144069,37333.16999999999
상계주공1단지 가상가 상점가,노원구,24.57,24.86,59.76,,20785,2870.23
