market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
동묘시장,종로구,13.18,-42.18,-28.66,,15753,9315.14
신설종합시장,종로구,20.82,-35.84,-15.87,,209492,178101.15000000005
마장축산물시장,성동구,21.49,-24.02,-3.72,,264190,109381.58999999998
성동용답상가시장,성동구,21.44,-22.1,-5.41,,322689,228178.03
면곡시장 골목형상점가,광진구,20.55,-8.91,6.55,,118978,45698.41
경동광성상가,동대문구,19.26,-29.81,-1.04,,1336464,825330.3000000004
경동시장,동대문구,19.22,-29.4,0.23,,1378390,889996.8899999998
답십리건축자재시장,동대문구,21.06,-18.58,-3.38,,848424,512640.45999999996
답십리시장,동대문구,19.67,-9.72,4.16,,1192700,506878.30000000005
답십리현대시장,동대문구,20.29,-22.09,-7.49,,1228725,732102.8600000002
동부시장,동대문구,21.22,-18.11,-2.65,,750329,434622.1500000001
동서시장,동대문구,18.58,-29.26,1.11,,1382110,966580.1599999997
서울약령시장,동대문구,19.86,-29.73,-2.93,,1302852,742489.73
신설동 들락거리 골목형상점가,동대문구,23.73,-34.64,-18.38,,1074045,703026.7100000004
용두시장,동대문구,25.26,-31.22,-13.56,,1144166,600212.0599999996
이경시장,동대문구,33.0,-7.75,6.27,,1142154,548674.1999999998
이경재래시장,동대문구,33.32,-7.24,6.54,,1192665,593010.6000000002
이문제일시장,동대문구,24.47,-6.99,5.43,,628304,298423.13000000006
장안 마실 골목형상점가,동대문구,21.28,-11.64,3.47,,1314731,670978.1699999999
장한평역  먹자 골목형상점가,동대문구,20.88,-29.39,-14.36,,993887,600136.4900000002
전곡시장,동대문구,18.11,-12.42,1.38,,1206864,518290.0599999999
전농로터리시장,동대문구,20.59,-11.19,2.36,,1058653,521166.29999999993
제기동 고대앞마을 골목형상점가,동대문구,29.61,-23.01,-8.44,,593785,220569.52999999994
청량리농수산물시장,동대문구,18.52,-29.73,-0.05,,1350868,885501.2899999998
청량리수산시장,동대문구,19.22,-28.47,1.95,,1413936,950458.5399999996
청량리전통시장,동대문구,19.25,-27.76,2.75,,1364139,937923.9299999998
청량리종합시장,동대문구,18.59,-29.41,0.78,,1381824,935565.2299999999
청량리청과물시장,동대문구,18.56,-29.13,1.05,,1391871,948218.5599999999
청량종합도매시장,동대문구,19.25,-30.03,-3.72,,1276696,672050.8800000004
회기시장,동대문구,37.53,-11.34,7.85,,1103293,808010.27
회기역골목형상점가,동대문구,36.82,-5.4,16.56,,1097015,689861.4000000001
경희담길 골목형상점가,동대문구,35.81,-18.44,-1.72,,1020399,630337.7799999999
전곡시장 골목형상점가,동대문구,18.21,-12.29,1.54,,1217900,530894.1799999997
겸재한신길 골목형상점가,중랑구,18.0,-11.31,1.83,,87758,25660.01
장미제일시장,중랑구,18.86,-6.42,18.95,,56680,11874.56
태능 골목형상점가,중랑구,18.95,-9.94,14.22,,6067,1501.29
태능엔터피아,중랑구,20.76,-3.55,17.22,,12423,3345.9300000000003
