market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
강남시장,동작구,38.1,-12.12,-8.89,,2221162,916361.58
남성사계시장(남성시장),동작구,24.82,-2.61,34.92,,600022,438445.58999999997
남성역골목시장,동작구,24.81,-7.91,11.49,,1173208,460858.76999999984
노량진수산시장골목형상점가,동작구,40.24,-8.03,14.83,,914509,659701.8900000001
만양로상점가,동작구,42.21,-5.08,15.02,,1266579,869002.4099999999
보라매다올길골목형상점가,동작구,23.45,-17.61,-6.95,,754505,303209.95999999996
본동인정시장,동작구,35.09,-10.62,8.31,,1065824,412707.91
사당1동먹자골목상점가,동작구,28.3,-1.32,33.65,,662566,461007.5600000002
사당시장,동작구,25.61,-6.0,17.59,,1173147,535877.6100000001
상도도깨비골목형상점가,동작구,23.59,-11.28,9.73,,1139804,441345.4600000001
상도약수골목형상점가,동작구,24.97,-5.22,14.45,,950715,321486.45
상도전통시장,동작구,33.13,-9.26,-0.84,,1096937,400236.13000000006
성대시장,동작구,23.53,-6.52,14.24,,1161431,462689.1899999997
성대전통시장,동작구,23.43,-6.07,14.5,,1165223,475599.1300000001
신노량진시장,동작구,31.74,-12.47,9.16,,1312440,586959.56
이수미로 골목형상점가,동작구,24.96,-2.78,33.8,,665870,474096.49
노량진 만나로 골목형상점가,동작구,41.13,-5.76,14.96,,1324000,922298.7000000004
숭실마루길 골목형상점가,동작구,41.77,-16.51,-15.19,,987656,438084.25999999995
신대방1동 온누리길 골목형상점가,동작구,21.89,-14.83,9.84,,793658,433506.62999999983
흑석시장 골목형상점가,동작구,35.12,-16.62,-7.72,,907422,597201.8800000001
강남골목시장,관악구,22.8,-9.4,17.12,,132442,67325.3
관악신사시장,관악구,25.26,-5.52,23.71,,211088,90308.09000000001
남현동 예술인마을 골목형상점가,관악구,28.75,-0.24,36.67,,299145,223835.88
신림종합시장,관악구,25.19,-7.98,24.86,,19291,13263.72
신림중앙시장,관악구,23.52,-8.7,21.47,,131459,85765.95999999999
원당종합시장,관악구,28.27,-0.92,23.92,,34863,11032.480000000001
인헌시장,관악구,28.33,-0.43,22.53,,20498,6497.03
조원동펭귄시장,관악구,23.51,-8.73,21.14,,118658,79584.52
행운담길 골목형상점가,관악구,28.74,-4.89,19.36,,21070,3474.0299999999997
신림별빛거리 골목형상점가,관악구,26.54,-40.56,-42.91,,114222,64581.770000000004
남부종합시장,서초구,22.64,-12.11,1.59,,202595,64274.61
