market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
충정로56출구 골목형상점가,중구,24.25,-25.18,-15.69,,170722,66742.54
만리시장,용산구,21.94,-19.78,-6.45,,533064,191549.63999999996
수일시장,은평구,34.12,-32.76,-34.22,,230381,107931.15
연희사러가,서대문구,40.8,-3.11,21.83,,55662,19531.719999999998
공덕시장,마포구,25.58,-22.72,-8.31,,1216699,801015.23
도화동상점가,마포구,24.91,-21.9,-7.4,,1321719,947732.8499999997
동진시장,마포구,40.79,-2.48,25.08,,623093,306667.06999999995
마포농수산물시장,마포구,21.68,-18.0,-4.54,,1088997,409990.7499999999
마포시장,마포구,23.21,-22.03,-8.1,,980540,404796.78999999986
망원동월드컵시장,마포구,22.55,-8.32,6.91,,1192964,477858.91999999987
망원시장,마포구,22.55,-8.32,6.91,,1192964,477858.91999999987
방울내길 골목형상점가,마포구,21.93,-9.56,7.06,,1240237,553359.4799999997
상암동상점가,마포구,27.44,-19.91,-13.09,,963851,378587.25
서교시장,마포구,48.89,9.35,40.63,,1456409,1357111.3700000006
신수시장,마포구,25.49,-20.51,-7.08,,1224303,545189.65
아현시장,마포구,22.81,-20.35,-3.56,,850234,333096.86000000004
연남동골목형상점가,마포구,38.56,-5.15,20.82,,655384,283568.23000000004
영진시장,마포구,32.78,-15.67,4.18,,1239353,768908.8200000001
용강동상점가,마포구,23.81,-22.06,-9.8,,1214937,764300.54
합정시장,마포구,35.33,-8.87,18.18,,1192089,706148.1900000002
홍대걷고싶은거리상점가,마포구,45.19,5.25,37.66,,1418627,1392441.4999999993
홍대레드로드골목형상점가,마포구,51.79,13.77,43.26,,1387373,936894.6900000001
홍대소상공인상점가,마포구,49.85,10.66,41.23,,1425698,1212132.89
아현동손기정길골목형상점가,마포구,23.17,-23.65,-11.89,,285849,108391.93000000002
