market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
충정로56출구 골목형상점가,중구,25.54,-28.66,-18.7,,536053,207693.74
대림시장,은평구,21.18,-5.64,10.05,,230157,77431.73000000001
불광천나들이거리골목형상점가,은평구,20.74,-2.29,16.56,,205696,64778.8
양지시장,은평구,21.18,-5.64,10.05,,230157,77431.73000000001
응암오거리상점가,은평구,20.78,-1.85,17.74,,131870,43379.719999999994
증산종합시장,은평구,19.61,-6.08,17.39,,382217,127266.1
경찰청골목형상점가,서대문구,26.28,-33.32,-24.88,,667944,360105.54
남이동길골목형상점가,서대문구,27.82,-11.85,0.47,,1161678,388349.2199999999
백련시장,서대문구,26.47,-12.99,-1.43,,1286149,479701.51
연희사러가,서대문구,35.31,-15.1,6.03,,1044773,417011.4899999999
영천시장,서대문구,21.75,-24.29,-15.11,,631115,246932.62
유진상가,서대문구,18.21,-11.28,8.75,,1193689,537840.2200000001
인왕시장,서대문구,18.33,-11.28,8.91,,1327896,639904.6699999998
포방터시장,서대문구,18.91,-6.62,6.06,,1034075,234905.53000000006
홍제골목형상점가,서대문구,18.34,-11.21,9.08,,1313728,632839.6500000001
동진시장,마포구,42.17,-1.67,26.02,,621020,290538.97000000003
아현시장,마포구,22.11,-21.75,-4.67,,411174,141985.33000000005
연남동골목형상점가,마포구,39.77,-4.33,23.31,,523176,226901.53999999998
홍대걷고싶은거리상점가,마포구,46.5,7.25,38.0,,12928,7187.5599999999995
아현동손기정길골목형상점가,마포구,24.85,-25.31,-14.51,,571065,201355.73000000004
