market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
남성사계시장(남성시장),동작구,22.86,-14.75,8.38,,597410,374678.55000000005
사당1동먹자골목상점가,동작구,25.59,-4.61,32.41,,527130,425150.8299999999
이수미로 골목형상점가,동작구,23.21,-14.42,11.53,,508264,353300.62000000005
남현동 예술인마을 골목형상점가,관악구,25.8,-3.55,33.15,,425984,343896.33000000013
강남터미널지하도상점가(고투몰),서초구,23.56,-23.31,-4.95,,1342854,1106224.5799999996
고속터미널역지하철역상점가(엔터식스 강남점),서초구,23.59,-23.54,-5.46,,1235357,1020923.1100000001
남부종합시장,서초구,21.5,-18.68,-8.11,,916727,406260.13999999996
말죽거리 골목형상점가,서초구,26.99,-25.42,-6.02,,851501,703169.6500000003
서초쇼핑 골목형상점가,서초구,28.15,-22.96,-1.7,,1095657,681156.0800000002
양재시장,서초구,27.11,-24.26,-3.79,,701701,618780.5399999998
영동전통시장,강남구,35.04,-17.78,3.3,,370945,444969.6200000001
