market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
동묘시장,종로구,21.05,-33.26,-19.05,,14191,6324.11
신설종합시장,종로구,22.49,-31.26,-16.92,,47235,21913.14
백학시장,중구,24.12,-27.35,-18.18,,54128,33375.46
서울중앙시장,중구,25.54,-28.43,-21.76,,122181,64970.880000000005
신당오길 골목형상점가,중구,25.39,-26.89,-19.99,,132807,70593.72
신중앙시장,중구,25.54,-28.43,-21.76,,122181,64970.880000000005
약수시장 골목형상점가,중구,23.01,-15.76,2.55,,38639,11949.15
황학시장,중구,26.05,-28.3,-22.7,,152350,77256.40999999999
금남시장,성동구,21.33,-13.87,8.25,,1124661,565343.8799999998
뚝도시장,성동구,24.35,-24.69,-14.61,,1192963,491104.1900000002
뚝섬역상점가,성동구,25.86,-25.52,-16.04,,1106185,417434.43999999977
마장축산물시장,성동구,24.54,-23.31,-6.84,,690874,358779.5800000001
사근살곶이골목형상점가시장,성동구,34.26,-22.27,-13.46,,905025,497895.0900000001
성동용답상가시장,성동구,25.83,-17.19,0.38,,818775,324454.11
성수역골목형상점가,성동구,25.25,-34.65,-26.79,,1073143,567655.3599999996
송정벚꽃골목형상점가,성동구,28.62,-22.31,-7.37,,603091,261916.54999999993
신금호역골목형상점가,성동구,26.82,-4.84,26.69,,819923,402859.81000000006
왕십리도선동상점가,성동구,24.21,-16.06,10.09,,1396227,1071648.3800000006
왕십리무학봉상점가,성동구,24.27,-14.58,12.99,,1373000,1095128.2099999993
한양대앞상점가,성동구,29.31,-17.03,0.9,,1108510,948589.5799999997
행당시장상점가,성동구,24.32,-14.79,12.43,,1383475,1144919.51
건리단길골목형상점가,광진구,28.04,-37.92,-25.85,,110220,85645.70999999999
노룬산골목시장,광진구,24.92,-12.36,8.13,,89406,27808.22
노룬산시장,광진구,25.03,-14.8,2.59,,126358,38598.719999999994
영동교골목시장,광진구,26.01,-18.05,-1.5,,235502,91382.87000000001
조양시장,광진구,26.94,-16.59,8.21,,50110,19737.579999999998
한아름시장,광진구,27.73,-37.18,-24.81,,53353,32197.8
화양제일골목시장,광진구,27.57,-38.29,-27.66,,128931,81389.63
답십리건축자재시장,동대문구,23.75,-16.56,0.77,,407752,171603.34000000003
답십리현대시장,동대문구,20.9,-23.05,-7.41,,113531,60493.22
동부시장,동대문구,24.24,-16.51,0.99,,475521,189448.34
신설동 들락거리 골목형상점가,동대문구,19.55,-39.57,-27.71,,4376,1757.3799999999999
장한평역  먹자 골목형상점가,동대문구,21.24,-33.37,-18.31,,249132,133954.81000000003
신사시장,강남구,35.89,-33.06,-32.37,,3039,810.06
