market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
신설동 들락거리 골목형상점가,동대문구,24.13,-27.97,-13.18,,53838,18729.71
용두시장,동대문구,29.32,-27.96,-15.89,,88466,26466.809999999998
이문제일시장,동대문구,21.34,-11.42,0.35,,540979,163244.91
제기동 고대앞마을 골목형상점가,동대문구,40.98,-18.0,-7.63,,382497,176445.37999999998
장미꽃빛거리 골목형상점가,중랑구,18.29,-6.65,6.05,,6478,1082.4299999999998
길음시장,성북구,21.64,-4.63,13.54,,896210,279715.7699999999
꿈의숲장곡골목형상점가,성북구,17.69,-10.84,0.28,,1047355,312348.7599999999
돈암시장,성북구,30.54,-8.47,13.71,,1337105,914707.5499999999
돌곶이시장,성북구,20.54,-9.57,11.46,,1266168,556080.5699999996
밤나무골시장,성북구,22.39,-12.04,-3.21,,1015678,404095.8200000001
배밭골골목형상점가,성북구,37.01,-16.2,-23.79,,659789,143658.38999999998
석계음식문화거리,성북구,21.54,-2.55,27.74,,795777,367373.2999999998
성북천골목형상점가,성북구,27.59,-12.8,5.27,,1075844,444332.3299999999
월곡달빛오거리골목형상점가,성북구,24.07,-14.19,-12.22,,987665,366119.69
장위전통시장,성북구,19.1,-11.6,3.84,,1251980,481640.76000000036
정릉서경대길골목형상점가,성북구,22.12,-11.74,-3.5,,1160393,452693.70000000007
정릉시장,성북구,30.71,-10.15,9.37,,1318855,825360.3699999998
정릉아리랑시장,성북구,20.84,-11.35,2.59,,1187928,545430.7299999999
종암북바위길골목형상점가,성북구,20.58,-13.94,0.53,,1252486,572281.9900000002
미소상인회 골목형상점가,강북구,23.87,-5.95,29.75,,64157,46577.15999999999
방천골목시장,강북구,21.14,-8.35,15.83,,489810,214907.33000000005
숭인시장,강북구,22.59,-6.45,23.8,,312942,145008.36000000004
오패산로 골목형상점가,강북구,19.05,-10.44,7.17,,256866,89564.77
숭인사랑골목형상점가,강북구,17.24,-12.56,0.62,,64810,15155.689999999999
