market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
가락골골목형상점가,송파구,20.98,-19.52,-2.81,,1441657,950637.3200000004
가락몰 골목형상점가,송파구,15.72,-19.01,-1.94,,1242070,570346.6199999999
마천시장관리주식회사,송파구,17.8,-12.25,6.0,,1230126,585259.3800000001
마천중앙시장,송파구,18.0,-12.73,5.59,,1312515,665532.78
문정동로데오거리상점가,송파구,20.78,-24.3,-7.5,,1223311,639259.9600000002
방이시장,송파구,22.18,-14.4,3.94,,1126680,533904.3799999999
새마을시장,송파구,24.59,-13.94,10.59,,1368404,979365.9100000004
석촌시장,송파구,22.96,-18.88,-0.24,,856774,529961.9200000002
풍납시장,송파구,26.09,-8.24,22.08,,870444,396097.43
잠실역지하쇼핑센터,송파구,28.14,-23.21,-7.54,,1243874,1146022.5699999996
장신구거리,강동구,22.73,-13.41,-3.96,,61810,17736.49
천호로데오거리상점가,강동구,25.6,-9.75,25.21,,28349,25854.0
