market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
경창시장,양천구,19.0,-8.38,10.01,,1070098,502048.27000000014
목2동시장,양천구,21.12,-9.19,7.46,,745724,284369.27999999997
목3동 골목형상점가,양천구,21.41,-11.32,10.53,,885905,442392.2599999999
목동깨비시장,양천구,21.34,-12.18,11.21,,664105,358157.27999999997
목동로데오골목형상점가,양천구,21.31,-9.42,8.73,,956248,452908.6
목사랑시장,양천구,20.29,-6.36,9.53,,1029190,466742.4499999999
서서울골목형상점가,양천구,20.03,-7.5,10.57,,781153,365041.38000000006
신곡시장 골목형상점가,양천구,17.67,-11.2,9.34,,1311280,586713.51
신곡종합시장,양천구,17.6,-11.47,8.91,,1302170,559315.2200000001
신영시장,양천구,19.44,-9.14,8.95,,752131,361774.5200000001
신월3동시장골목형상점가,양천구,18.64,-11.26,5.12,,1011941,381870.75
신월7동골목시장,양천구,18.56,-9.0,5.41,,996795,323239.12
신정1동골목시장,양천구,19.12,-7.31,13.01,,1341432,686755.6999999998
신정제일시장,양천구,19.2,-7.46,12.97,,1351520,690087.3800000001
오목교중앙시장,양천구,21.31,-13.33,-1.57,,1027528,646347.1299999999
오목내길골목형상점가,양천구,21.8,-14.01,-0.49,,1053452,771975.9999999998
우성상가,양천구,18.51,-9.23,5.44,,1036260,342059.84
월정로시장,양천구,19.3,-9.55,8.68,,784859,383616.39
공항대로 골목형상점가,강서구,21.31,-13.65,13.02,,164232,105577.84000000001
까치산시장,강서구,21.96,-6.65,15.2,,52248,19658.550000000003
남부골목시장,강서구,19.97,-9.96,8.42,,194340,98856.15000000002
봉제산길 골목형상점가,강서구,21.14,-11.19,10.07,,528005,293428.44999999995
화곡중앙시장,강서구,19.51,-7.8,12.13,,179285,104473.59
고척골목시장상점가,구로구,17.09,-11.22,6.76,,214459,96184.34000000001
고척프라자,구로구,17.03,-10.77,7.74,,201126,90115.37999999999
선유도역골목형상점가,영등포구,18.29,-11.58,3.61,,6118,859.7099999999999
