market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
용강동상점가,마포구,22.83,-18.5,-7.3,,6264,1593.33
오목교중앙시장,양천구,21.34,-7.14,8.4,,49239,21770.660000000003
오목내길골목형상점가,양천구,21.67,-20.18,-9.25,,66996,16982.54
남서울상가,영등포구,27.84,-21.55,11.45,,1418932,1420827.91
대림중앙골목형상점가,영등포구,22.06,-7.18,29.37,,956572,485418.70000000007
대림중앙시장,영등포구,21.83,-7.54,28.54,,1195089,576403.5199999998
대신시장,영등포구,22.27,-12.88,9.24,,1278937,541700.1900000002
도림시장,영등포구,24.02,-22.9,-7.86,,1114691,474107.91000000015
동남상가,영등포구,27.77,-22.53,9.22,,1430391,1465086.529999999
로타리상가,영등포구,27.97,-21.82,10.67,,1449118,1497480.3800000008
삼구시장,영등포구,27.97,-21.84,10.65,,1449155,1498439.430000001
샛강두리골목형상점가,영등포구,22.73,-12.89,11.07,,1276261,545263.68
선유도역골목형상점가,영등포구,27.22,-20.62,-8.57,,751033,374697.93000000005
선유로운골목형상점가,영등포구,27.62,-20.12,-9.07,,895925,414676.60000000003
신동시장,영등포구,19.25,-12.08,10.29,,1283862,525968.2499999999
영등포로타리지하도상가,영등포구,29.54,-17.56,16.49,,1453646,1586835.2900000005
영등포시장기계공구상가,영등포구,28.19,-16.79,18.65,,1263132,967319.9000000001
영등포시장지하도상가,영등포구,28.51,-20.5,12.77,,1443263,1537264.9000000001
영등포역지하도상가,영등포구,30.89,-13.64,20.09,,1386229,1374801.219999999
영등포유통상가,영등포구,21.83,-29.99,-15.15,,1239525,741297.5200000001
영등포전통시장,영등포구,26.69,-22.27,11.49,,1382392,1234347.3499999999
영등포청과시장,영등포구,21.67,-29.56,-8.04,,1346724,953412.8099999996
영신상가,영등포구,28.51,-20.49,12.6,,1432296,1518626.5400000003
영일시장,영등포구,29.56,-19.69,5.62,,1252069,958959.8499999999
우리시장,영등포구,19.92,-11.46,17.37,,1223697,506065.82
제일상가,영등포구,28.34,-20.9,11.94,,1438319,1507919.8399999999
노량진수산시장골목형상점가,동작구,30.9,-26.84,-11.17,,323681,150504.78
보라매다올길골목형상점가,동작구,20.89,-19.01,-5.07,,374783,159308.44999999998
신대방1동 온누리길 골목형상점가,동작구,19.86,-18.53,3.43,,593294,297566.57
강남골목시장,관악구,22.22,-6.79,26.16,,53550,20213.58
