market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
남대문시장,중구,22.66,-46.96,-38.91,,4548,4962.08
만리시장,용산구,25.84,-21.8,-9.69,,548230,215375.1200000001
신흥시장,용산구,32.5,-10.66,31.64,,911246,385411.5700000001
용산용문시장,용산구,24.16,-33.65,-26.16,,1261744,597638.04
이촌종합시장,용산구,19.2,-23.1,-7.87,,1034790,282897.00000000006
이태원시장,용산구,33.88,-9.35,31.02,,970343,408885.5999999999
한강쇼핑센터,용산구,19.68,-23.04,-8.36,,1065685,323129.3499999999
후암시장,용산구,27.03,-27.86,-13.15,,1094089,556295.53
공덕시장,마포구,26.57,-22.99,-13.33,,55241,18812.25
도화동상점가,마포구,23.48,-20.0,-6.07,,17889,12751.449999999999
마포시장,마포구,24.33,-20.31,-10.82,,266735,88909.54000000001
흑석시장 골목형상점가,동작구,20.26,-22.89,-11.75,,2757,345.68
