market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
대림골목시장,은평구,20.67,-5.29,15.44,,1159042,559641.6100000001
대림시장,은평구,21.09,-9.39,6.42,,1006382,462660.77000000014
대조시장,은평구,19.69,-12.1,11.38,,1352658,826752.7
불광먹자골목형상점가,은평구,19.37,-13.3,10.55,,1271908,827802.09
불광천나들이거리골목형상점가,은평구,20.86,-7.42,10.86,,1019722,501559.63999999984
수일시장,은평구,22.3,-12.03,-0.28,,784782,213543.84000000003
신응암시장,은평구,20.16,-7.91,10.82,,1172204,484182.99999999977
양지시장,은평구,21.09,-9.39,6.42,,1006382,462660.77000000014
연서시장,은평구,22.52,-1.83,34.13,,1295700,907194.1100000001
연신내골목형상점가,은평구,22.83,-0.71,35.25,,1300265,921298.6199999994
응암시장,은평구,20.24,-8.14,10.59,,1173898,500309.05999999994
응암오거리상점가,은평구,20.94,-6.7,12.77,,1100321,552934.83
제일시장,은평구,19.48,-13.22,10.37,,1368645,890645.21
증산종합시장,은평구,20.04,-10.03,7.54,,761185,236452.94000000003
포수말골목형상점가,은평구,19.45,-13.18,4.86,,1301788,615982.19
상암동상점가,마포구,22.25,-9.17,13.25,,101765,34357.82
