market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
광장시장,종로구,21.44,-48.32,-40.03,,881458,921796.4099999999
광장전통시장,종로구,21.68,-49.82,-43.1,,817585,887673.7300000002
낙원악기상가,종로구,27.2,-29.06,-4.76,,1467116,1607579.5500000003
동대문문구·완구거리,종로구,25.04,-38.63,-32.8,,993493,905731.77
동대문상가A동,종로구,26.47,-49.4,-50.07,,814792,896005.8600000001
동대문상가B동,종로구,26.32,-47.06,-46.82,,814596,881305.1000000001
동대문상가C동,종로구,25.73,-42.78,-39.89,,819131,842804.3899999999
동대문상가D동(일신파워빌딩),종로구,25.15,-40.26,-35.59,,770570,746066.72
동대문종합시장,종로구,26.16,-51.71,-53.25,,879911,967067.5100000004
동대문종합시장D동,종로구,25.61,-51.3,-51.08,,993659,1098449.1000000006
동대문종합시장신관,종로구,26.3,-51.12,-52.72,,872597,934803.4600000001
동대문지하쇼핑센터,종로구,26.43,-50.4,-51.65,,882495,929415.1299999999
동묘시장,종로구,23.19,-36.47,-27.65,,903430,677044.7700000001
동문시장,종로구,26.34,-47.56,-47.78,,922401,973365.8899999998
마전교지하쇼핑센터,종로구,22.92,-51.73,-47.69,,912464,1059882.3000000003
보령약국골목상가,종로구,22.22,-48.16,-41.2,,1133737,1031092.39
북촌계동길 골목형상점가,종로구,25.77,-38.63,-35.32,,995479,443068.07000000024
삼청정독길 골목형상점가,종로구,26.16,-38.29,-33.64,,1002451,553537.4699999997
세운상가가동,종로구,22.18,-41.17,-23.7,,838444,1027957.83
세종마을음식문화거리,종로구,24.98,-30.95,-22.58,,1145325,633006.9799999999
신설종합시장,종로구,22.35,-35.65,-24.49,,889822,651687.0500000002
종각지하쇼핑센터,종로구,29.27,-30.18,-5.39,,1226039,1633039.5699999996
종로4가지하쇼핑센터,종로구,20.84,-47.6,-37.37,,824009,879848.7700000004
종로신진시장,종로구,24.63,-52.37,-50.99,,885687,1061314.4999999995
종오지하쇼핑센터,종로구,21.93,-49.12,-42.56,,956149,956486.2599999998
창신골목시장,종로구,25.65,-41.7,-38.99,,1304830,1144837.66
충신시장,종로구,26.67,-45.6,-40.35,,1333676,944293.23
통인시장,종로구,25.06,-28.42,-22.63,,973629,324351.19999999984
한일상가,종로구,23.32,-52.29,-48.94,,910346,1081922.97
종로신백제 골목형상점가,종로구,24.69,-51.16,-49.26,,1092260,1155513.94
Team204 (팀204),중구,26.11,-45.25,-41.95,,300883,292902.92
광희패션몰,중구,26.15,-48.39,-48.14,,455506,545050.3200000002
남평화시장,중구,26.35,-49.95,-50.74,,620340,723253.2800000001
대림상가,중구,20.04,-47.3,-33.58,,353659,363326.54000000004
동평화시장,중구,25.73,-42.19,-38.42,,657939,659136.5799999998
동화상가,중구,25.6,-53.31,-54.38,,701470,872420.8300000007
방산시장,중구,20.57,-50.27,-40.37,,424469,527813.88
방산종합시장,중구,21.58,-50.8,-44.23,,626963,760907.4400000002
벨포스트 (舊에리어식스),중구,26.12,-48.21,-47.75,,397431,472000.5700000001
서울중앙시장,중구,25.68,-43.2,-38.38,,82989,72866.75
시청광장 지하쇼핑센터,중구,33.98,-21.83,7.78,,354427,557616.1300000001
신중부시장,중구,19.04,-53.8,-44.26,,79703,84644.07
신중앙시장,중구,25.68,-43.2,-38.38,,82989,72866.75
신평화패션타운,중구,26.43,-48.42,-48.57,,692823,792323.2100000002
아트프라자,중구,26.19,-44.81,-42.75,,607287,644649.4400000003
을지로지하보도쇼핑센터,중구,31.54,-21.83,15.93,,264511,303135.52
을지입구지하상가,중구,34.04,-19.75,11.68,,212039,312626.72
제일평화시장,중구,26.35,-49.5,-50.09,,506718,619145.6800000003
청계5가쇼핑센터,중구,22.75,-52.57,-48.78,,751802,941256.6999999998
청계6가 지하도상가,중구,26.25,-51.32,-52.57,,638610,768375.9999999999
청계상가,중구,21.87,-41.65,-23.19,,592665,744899.34
청계천공구상가,중구,26.15,-31.54,-2.35,,686957,916137.6200000003
청평화시장,중구,25.29,-40.88,-36.09,,633766,589396.6799999999
테크노상가,중구,26.13,-44.43,-41.96,,523724,561417.4999999999
통일상가,중구,25.16,-53.95,-54.68,,612365,808694.31
평화시장,중구,25.98,-52.93,-54.53,,724822,871352.1799999999
황학동주방가구거리 상점가,중구,26.27,-43.41,-40.3,,170338,147727.7
황학시장,중구,25.87,-42.94,-37.14,,31341,33802.47
신설동 들락거리 골목형상점가,동대문구,21.5,-36.21,-20.74,,298389,222334.93
성북천골목형상점가,성북구,32.24,-10.61,9.48,,90212,23776.79
경찰청골목형상점가,서대문구,23.3,-33.94,-23.87,,134989,130839.97
영천시장,서대문구,20.38,-24.18,-14.45,,482235,162516.64
포방터시장,서대문구,24.15,-14.0,-10.99,,9645,1373.1000000000001
