market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
광장시장,종로구,18.05,-52.34,-41.28,,485567,417412.18999999994
광장전통시장,종로구,18.81,-52.04,-41.64,,569902,473218.4600000001
동대문문구·완구거리,종로구,31.14,-18.78,2.74,,545603,759901.7900000003
동대문상가A동,종로구,30.18,-28.44,-10.75,,698009,1233002.8500000006
동대문상가B동,종로구,30.78,-25.49,-6.51,,716737,1185023.1600000004
동대문상가C동,종로구,31.03,-21.92,-1.55,,713233,1065270.7799999998
동대문상가D동(일신파워빌딩),종로구,30.84,-19.34,2.35,,749878,948375.5700000004
동대문종합시장,종로구,29.34,-30.66,-14.27,,619830,1133819.71
동대문종합시장D동,종로구,28.46,-34.81,-20.41,,521053,934609.0900000001
동대문종합시장신관,종로구,29.6,-30.15,-13.1,,626283,1157808.08
동대문지하쇼핑센터,종로구,29.86,-29.4,-11.9,,642780,1191320.03
동묘시장,종로구,27.1,-30.55,-14.18,,528322,347239.24
동문시장,종로구,30.57,-26.69,-8.41,,594694,1079364.39
마전교지하쇼핑센터,종로구,20.83,-52.52,-45.8,,538106,486384.6599999999
보령약국골목상가,종로구,17.33,-56.43,-50.79,,188518,151216.16
세운상가가동,종로구,17.72,-49.01,-34.22,,558997,533500.36
신설종합시장,종로구,23.8,-36.15,-25.4,,313242,161476.53999999998
종각지하쇼핑센터,종로구,28.28,-38.53,-22.9,,346704,443049.29
종로4가지하쇼핑센터,종로구,17.88,-52.5,-41.09,,557428,484927.83
종로신진시장,종로구,26.43,-41.37,-28.99,,610017,877915.6399999998
종오지하쇼핑센터,종로구,18.13,-53.63,-45.06,,391428,317350.52999999985
창신골목시장,종로구,30.4,-26.38,-9.95,,191804,410300.94
한일상가,종로구,22.8,-48.73,-39.05,,562512,558519.29
종로신백제 골목형상점가,종로구,26.09,-43.13,-33.46,,363937,500947.16000000003
Team204 (팀204),중구,30.19,-22.83,-2.39,,1150736,1494702.1299999992
광희패션몰,중구,30.22,-25.73,-6.65,,1026736,1464474.0200000003
남대문로 지하상가,중구,24.88,-46.84,-37.11,,1430836,1843828.9400000004
남대문시장,중구,24.05,-48.45,-40.08,,1359107,1624524.000000001
남평화시장,중구,30.19,-27.22,-8.92,,879598,1380905.9999999998
대림상가,중구,18.51,-48.91,-35.19,,1065751,1046478.2799999997
동평화시장,중구,30.78,-20.49,0.63,,841156,1130573.23
동화동 골목형상점가,중구,25.17,-19.19,-2.62,,1404354,964460.1899999998
동화상가,중구,28.43,-32.63,-16.77,,807059,1208189.2799999998
명동남산골 골목형상점가,중구,28.31,-35.14,-23.87,,1091601,714032.48
명동역지하도상가,중구,28.66,-36.46,-21.98,,1362493,1303309.0799999998
명동지하쇼핑센터,중구,28.06,-39.62,-25.51,,1529583,2078218.49
방산시장,중구,19.68,-50.74,-39.74,,993831,796350.78
방산종합시장,중구,20.71,-50.23,-39.3,,821333,721448.5500000003
백학시장,중구,25.84,-20.96,-3.07,,1345991,939379.83
벨포스트 (舊에리어식스),중구,30.18,-25.39,-6.0,,1101094,1515198.51
삼익패션타운,중구,25.03,-46.47,-36.22,,1432179,1796485.4499999983
서울중앙시장,중구,26.78,-23.47,-4.75,,1213765,904981.65
소공지하도상가,중구,27.45,-39.66,-26.69,,1487743,2011884.8299999996
숭례문수입상가,중구,24.16,-48.29,-39.98,,1386836,1702801.8199999994
시청광장 지하쇼핑센터,중구,28.66,-36.31,-19.85,,1153358,1403277.18
신당 미래유산 먹거리 골목형상점가,중구,26.7,-17.35,1.74,,1392018,954228.3400000003
신당오길 골목형상점가,중구,25.03,-22.04,-5.92,,1164972,777746.7499999994
신중부시장,중구,22.41,-47.13,-33.76,,1353850,1096639.9899999998
신중앙시장,중구,26.78,-23.47,-4.75,,1213765,904981.65
신평화패션타운,중구,30.47,-26.27,-7.7,,822390,1311889.7899999996
아트프라자,중구,30.59,-24.03,-4.31,,876391,1288937.88
약수시장 골목형상점가,중구,24.24,-20.04,-5.64,,1116928,718900.6499999999
을지로지하보도쇼핑센터,중구,26.85,-37.58,-19.09,,1187161,1363713.3599999996
을지입구지하상가,중구,28.69,-36.2,-19.88,,1270806,1555005.8100000003
인현시장,중구,22.08,-43.91,-27.19,,1417929,1547008.4100000004
자유상가,중구,26.25,-43.8,-31.01,,1481571,1996512.0499999996
장충남소영길 골목형상점가,중구,35.96,-15.96,-6.25,,588734,176420.46999999994
제일평화시장,중구,30.11,-26.82,-8.19,,1003443,1478049.3799999997
중부시장,중구,23.74,-45.31,-31.62,,1447193,1180870.3699999996
청계5가쇼핑센터,중구,21.88,-49.28,-38.38,,737808,669670.7399999999
청계6가 지하도상가,중구,29.64,-28.56,-10.95,,860230,1373307.0999999996
