market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
면곡시장 골목형상점가,광진구,19.46,-9.06,9.36,,523334,194177.56000000006
이경시장,동대문구,20.83,-9.16,10.61,,81532,12971.560000000001
이경재래시장,동대문구,20.97,-9.01,11.29,,60106,9899.75
겸재한신길 골목형상점가,중랑구,20.25,-9.67,4.77,,1029300,361875.5900000002
동성타워프라자,중랑구,18.47,-10.39,5.54,,1134735,542090.1400000005
동원시장,중랑구,20.72,-8.23,13.43,,1401571,686108.7499999997
동원전통시장상점가,중랑구,20.79,-8.87,12.68,,1408034,685916.55
동원전통종합시장,중랑구,20.85,-8.63,10.96,,1407449,665711.0999999999
면목시장(골목형),중랑구,19.23,-7.03,18.73,,1257181,631758.0600000004
면목시장(카멜리아쇼핑센타),중랑구,19.71,-5.32,24.0,,1320010,732888.8599999996
묵동도깨비시장 골목형상점가,중랑구,20.34,-7.78,13.75,,1001794,343826.64999999985
봉우시장 골목형상점가,중랑구,21.62,-8.76,11.79,,1309004,536370.1599999998
사가정51길 골목형상점가,중랑구,20.6,-3.87,26.94,,1396202,795007.9300000003
사가정시장,중랑구,18.62,-9.52,7.92,,1043586,477573.4400000001
상봉먹자 골목형상점가,중랑구,23.93,-5.99,23.26,,1422058,837650.9400000002
신내구길 골목형상점가,중랑구,18.46,-10.51,7.2,,1249636,629517.2000000002
신아타운,중랑구,18.5,-10.14,7.5,,1194169,584710.2800000003
우림골목시장,중랑구,18.74,-11.64,9.56,,1332700,640634.3199999996
유영시장,중랑구,20.7,-10.57,5.23,,1357509,551703.2899999999
장미꽃빛거리 골목형상점가,중랑구,21.19,-8.27,14.15,,1281545,518240.2299999997
장미제일시장,중랑구,21.31,-6.51,18.84,,1194044,570744.7400000003
중랑교종합상가,중랑구,21.72,-8.21,17.91,,1327154,590522.17
중랑동부시장,중랑구,22.03,-8.52,15.89,,1346732,598993.1999999998
태능 골목형상점가,중랑구,21.54,-7.21,16.97,,1309471,657997.2300000003
태능엔터피아,중랑구,20.48,-6.33,21.84,,1289085,598598.9700000001
