market_name,district,mz_ratio,night_activity,mz_night_activity,weekend_activity,mz_weekend_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,20.29,-37.57,-12.15,-25.35,-12.47,,28096,3570.8200000000006
가리봉시장,구로구,25.82,-47.27,-36.31,-40.56,-46.44,,787564,338851.62
개봉입구골목상가 골목형상점가,구로구,19.48,-37.23,-12.34,-21.81,-15.59,,1273460,501547.29
개봉중앙 골목형상점가,구로구,19.6,-35.72,-9.49,-19.83,-13.49,,1392358,631318.0300000003
개봉중앙시장,구로구,19.78,-35.18,-9.86,-19.44,-13.32,,1302086,545399.42
개봉프라자,구로구,18.46,-35.86,-8.83,-19.04,-9.54,,1292500,387956.43
고척골목시장상점가,구로구,18.94,-39.17,-13.0,-25.42,-17.18,,1069067,349221.7699999999
고척근린시장,구로구,18.42,-35.87,-8.82,-18.96,-9.36,,1301817,392738.4000000001
고척프라자,구로구,18.84,-38.97,-12.69,-25.02,-16.63,,1088202,351993.67
구로시장,구로구,21.33,-43.57,-24.56,-28.39,-30.78,,1387823,702617.7499999994
그라운드고척 골목형상점가,구로구,21.28,-42.86,-17.26,-29.73,-20.88,,1159766,416564.89999999985
남구로시장,구로구,20.9,-43.45,-23.75,-27.71,-28.72,,1372512,663989.0399999998
오류버들시장 골목형상점가,구로구,19.89,-33.94,-7.61,-17.39,-9.23,,1122964,308063.98000000016
오류시장,구로구,20.94,-32.84,-4.43,-16.09,-7.09,,1331929,435413.7
극동종합상가 골목형상점가,구로구,22.17,-44.94,-26.05,-30.18,-32.24,,1450934,840481.2300000004
오류골먹자골목 골목형상점가,구로구,20.85,-33.01,-4.69,-16.14,-6.98,,1330652,429428.9599999998
대림중앙골목형상점가,영등포구,25.65,-43.15,-22.81,-33.98,-37.25,,406067,232827.11
대림중앙시장,영등포구,26.05,-41.15,-17.49,-33.21,-35.52,,139549,91392.26999999999
강남골목시장,관악구,29.78,-35.99,-3.32,-36.89,-34.95,,184294,231298.18999999994
