시장명,X,Y
광장시장,955753,1952415
광장전통시장,955847,1952387
낙원악기상가,954789,1952756
동대문문구·완구거리,957123,1952539
동대문상가A동,956785,1952408
동대문상가B동,956900,1952410
동대문상가C동,957026,1952416
동대문상가D동(일신파워빌딩),957140,1952416
동대문종합시장,956573,1952447
동대문종합시장D동,956455,1952490
동대문종합시장신관,956635,1952448
동대문지하쇼핑센터,956689,1952450
동묘시장,957466,1952575
동문시장,956846,1952471
마전교지하쇼핑센터,956022,1952421
보령약국골목상가,955830,1952623
북촌계동길 골목형상점가,954725,1953473
삼청정독길 골목형상점가,954170,1953325
세운상가가동,955423,1952337
세종마을음식문화거리,953391,1953140
신설종합시장,957644,1952696
종각지하쇼핑센터,954591,1952463
종로4가지하쇼핑센터,955657,1952382
종로신진시장,956283,1952432
종오지하쇼핑센터,955837,1952484
창신골목시장,956899,1952716
충신시장,956329,1952944
통인시장,953199,1953618
한일상가,956111,1952420
종로신백제 골목형상점가,956279,1952554
Team204 (팀204),957011,1952150
광희패션몰,956898,1952226
남대문로 지하상가,953890,1951423
남대문시장,953879,1951192
남평화시장,956802,1952312
대림상가,955448,1952052
동평화시장,957077,1952344
동화동 골목형상점가,957365,1951549
동화상가,956475,1952337
명동남산골 골목형상점가,954637,1951130
명동역지하도상가,954571,1951428
명동지하쇼핑센터,954208,1951689
방산시장,955815,1952136
방산종합시장,955918,1952264
백학시장,957576,1951799
벨포스트 (舊에리어식스),956901,1952190
삼익패션타운,953983,1951328
서울중앙시장,957589,1952109
소공지하도상가,954038,1951789
숭례문수입상가,953741,1951247
시청광장 지하쇼핑센터,954449,1952041
신당 미래유산 먹거리 골목형상점가,957174,1951616
신당오길 골목형상점가,957704,1951797
신중부시장,955920,1951927
신중앙시장,957589,1952109
신평화패션타운,956868,1952341
아트프라자,956985,1952310
약수시장 골목형상점가,956809,1950581
을지로지하보도쇼핑센터,954727,1951959
을지입구지하상가,954416,1951964
인현시장,955439,1951729
자유상가,954086,1951443
장충남소영길 골목형상점가,955890,1950747
제일평화시장,956850,1952245
중부시장,956004,1951849
청계5가쇼핑센터,956054,1952324
청계6가 지하도상가,956700,1952316
청계상가,955432,1952188
청계천공구상가,955069,1952189
청평화시장,957165,1952346
충무로 골목형상점가,955382,1951577
충정로56출구 골목형상점가,952602,1951202
테크노상가,957014,1952275
통일상가,956392,1952285
평화시장,956559,1952346
필동 골목형상점가,955514,1951284
황학동주방가구거리 상점가,957289,1952101
황학시장,957649,1952069
회현지하쇼핑센터,954237,1951383
만리시장,952585,1950384
신흥시장,954957,1948266
용산용문시장,952274,1948726
이촌종합시장,953596,1946948
이태원시장,954946,1948401
한강쇼핑센터,953334,1946887
후암시장,953728,1950235
금남시장,957869,1950028
뚝도시장,960669,1948813
뚝섬역상점가,959846,1949934
마장축산물시장,959492,1952467
사근살곶이골목형상점가시장,960000,1951385
성동용답상가시장,960484,1951740
성수역골목형상점가,960587,1949931
송정벚꽃골목형상점가,961813,1950271
신금호역골목형상점가,957625,1950650
왕십리도선동상점가,958775,1951639
왕십리무학봉상점가,958637,1951380
한양대앞상점가,959323,1951257
행당시장상점가,958733,1951292
건리단길골목형상점가,961995,1949525
광성시장,963007,1951664
노룬산골목시장,961604,1948656
노룬산시장,961556,1948663
면곡시장 골목형상점가,963021,1952537
신성시장,963652,1951040
신성전통시장,963702,1951013
영동교골목시장,961512,1948763
자양15번가 골목형상점가,962876,1948485
자양전통시장,963033,1948358
자양종합시장,962576,1948159
자양한강전통시장,961683,1948523
조양시장,961780,1948929
중곡제일골목시장,963069,1951691
중곡제일시장,963023,1951699
한아름시장,962006,1949436
화양제일골목시장,961931,1949422
자마장시장골목형상점가,963003,1948272
경동광성상가,959276,1953601
경동시장,959322,1953408
답십리건축자재시장,960551,1952116
답십리시장,961030,1952735
답십리현대시장,961023,1952027
동부시장,960464,1952123
동서시장,959514,1953470
서울약령시장,959128,1953510
신설동 들락거리 골목형상점가,958143,1953019
용두시장,958457,1953329
이경시장,961689,1955110
이경재래시장,961646,1955156
이문제일시장,961377,1956201
장안 마실 골목형상점가,961752,1952369
장한평역  먹자 골목형상점가,961712,1951630
전곡시장,961904,1953254
전농로터리시장,960883,1953263
제기동 고대앞마을 골목형상점가,958951,1954407
청량리농수산물시장,959462,1953603
청량리수산시장,959483,1953287
청량리전통시장,959705,1953563
청량리종합시장,959475,1953518
청량리청과물시장,959599,1953472
청량종합도매시장,959411,1953815
회기시장,960712,1954710
회기역골목형상점가,960800,1954510
경희담길 골목형상점가,960403,1954788
전곡시장 골목형상점가,961911,1953202
겸재한신길 골목형상점가,962600,1954202
동성타워프라자,964455,1956581
동원시장,963794,1954572
동원전통시장상점가,963881,1954699
동원전통종합시장,963991,1954572
면목시장(골목형),963304,1953206
면목시장(카멜리아쇼핑센타),963471,1953431
묵동도깨비시장 골목형상점가,962884,1957466
봉우시장 골목형상점가,962779,1954561
사가정51길 골목형상점가,963631,1953767
사가정시장,964071,1956445
상봉먹자 골목형상점가,963672,1955111
신내구길 골목형상점가,964436,1956314
신아타운,964228,1956413
우림골목시장,964533,1955327
유영시장,964397,1954740
장미꽃빛거리 골목형상점가,962666,1957023
장미제일시장,962591,1956255
중랑교종합상가,962667,1954921
중랑동부시장,962789,1954764
태능 골목형상점가,962634,1956425
태능엔터피아,962695,1955615
길음시장,957783,1956022
꿈의숲장곡골목형상점가,960009,1957648
돈암시장,957264,1954792
돌곶이시장,961360,1956798
밤나무골시장,959036,1956650
배밭골골목형상점가,955866,1956638
석계음식문화거리,961601,1957212
성북천골목형상점가,956588,1954468
월곡달빛오거리골목형상점가,959645,1956180
장위전통시장,960373,1956966
정릉서경대길골목형상점가,956718,1957020
정릉시장,957343,1954558
정릉아리랑시장,956857,1956046
종암북바위길골목형상점가,958843,1955654
강북북부골목시장,958571,1959711
강북북부시장,958562,1959744
동북프라자,957534,1957975
미소상인회 골목형상점가,958609,1957436
방천골목시장,958815,1957113
백년시장,958138,1960303
삼양시장 골목형상점가,957386,1958543
솔샘시장 골목형상점가,957568,1957903
수유북부시장,957302,1959745
수유시장,957906,1959142
수유재래시장,957763,1959263
수유전통시장,957763,1959263
수유중앙골목시장골목형상점가,957630,1960232
수유중앙시장,957769,1960204
수유프라자,957949,1959236
숭인시장,958476,1957184
어진이골목시장,957150,1959782
오패산로 골목형상점가,958941,1957311
우이골목시장골목형상점가,957671,1960879
우이시장,957656,1960828
장미원골목시장,957312,1960664
숭인사랑골목형상점가,957707,1957582
인수로골목형상점가,956821,1960655
도봉산옛길골목형상점가,959598,1965217
방학동도깨비시장,959035,1962974
백운시장,957121,1961903
신도봉시장,959540,1963516
쌍리단길상점가,959902,1961514
쌍문시장,958777,1961080
쌍문역둘러상점가,958707,1960942
오!도봉거리상점가,959844,1963775
창동골목시장,959287,1960018
창동신창시장,959056,1960119
창동역상점가,960082,1963332
공릉동도깨비시장,962685,1958237
공릉철길 골목형상점가,962647,1958634
상계역전종합상가 상점가,962281,1962445
상계주공15단지 상가 상점가,960526,1963261
상계주공1단지 가상가 상점가,961131,1960904
상계중앙시장,962097,1962327
중계 씨앤미상가 상점가,961901,1960226
중계동 시영2단지 무지개종합상가 상점가,961773,1960427
중계동시영B상가상점가,961530,1960387
대림골목시장,948404,1954927
대림시장,948595,1954315
대조시장,949480,1956807
불광먹자골목형상점가,949765,1956921
불광천나들이거리골목형상점가,948439,1954372
수일시장,946601,1953894
신응암시장,948682,1955103
양지시장,948595,1954315
연서시장,948961,1957913
연신내골목형상점가,948681,1957855
응암시장,948671,1955157
응암오거리상점가,948438,1954469
제일시장,949644,1956951
증산종합시장,947470,1953731
포수말골목형상점가,949050,1955773
경찰청골목형상점가,952924,1951789
남이동길골목형상점가,949296,1953097
백련시장,949057,1953219
연희사러가,949632,1952128
영천시장,952410,1952529
유진상가,950780,1954812
인왕시장,950887,1954741
포방터시장,951372,1955616
홍제골목형상점가,950882,1954714
공덕시장,951712,1949638
도화동상점가,951519,1949332
동진시장,949370,1951602
마포농수산물시장,946892,1951876
마포시장,952304,1950229
망원동월드컵시장,947125,1950994
망원시장,947125,1950994
방울내길 골목형상점가,947145,1951304
상암동상점가,946620,1953160
서교시장,948920,1950621
신수시장,950140,1949716
아현시장,951886,1950888
연남동골목형상점가,949276,1951700
영진시장,948121,1950613
용강동상점가,950878,1949095
합정시장,948158,1950030
홍대걷고싶은거리상점가,948972,1951029
홍대레드로드골목형상점가,948947,1950346
홍대소상공인상점가,948915,1950532
아현동손기정길골목형상점가,952439,1951153
경창시장,941868,1947496
목2동시장,944693,1949820
목3동 골목형상점가,944111,1949945
목동깨비시장,943927,1950058
목동로데오골목형상점가,943622,1947807
목사랑시장,944007,1948886
서서울골목형상점가,941392,1948196
신곡시장 골목형상점가,941937,1946744
신곡종합시장,941904,1946708
신영시장,941335,1948392
신월3동시장골목형상점가,940513,1948478
신월7동골목시장,941084,1947266
신정1동골목시장,942901,1947010
신정제일시장,942889,1947036
오목교중앙시장,944822,1946920
오목내길골목형상점가,944842,1947172
우성상가,941113,1947249
월정로시장,941308,1948446
강서구청먹자골목 골목형상점가,942805,1950773
강서수산시장 골목형상점가,939826,1950602
강서행복한길골목형상점가,941841,1949645
공항대로 골목형상점가,944033,1950563
까치산시장,942383,1948225
남부골목시장,943457,1948400
방신전통시장,939264,1952687
봉제산길 골목형상점가,943654,1949776
송화벽화시장,942552,1950379
화곡본동시장,942041,1949469
화곡중앙시장,941646,1948601
가양역사거리 골목형상점가,942981,1951000
공항골목시장 골목형상점가,939362,1951062
공항동 먹자골목 골목형상점가,939184,1951187
송정역 카페거리 골목형상점가,939247,1951453
가리봉시장,945920,1942655
개봉입구골목상가 골목형상점가,943008,1944504
개봉중앙 골목형상점가,943014,1943785
개봉중앙시장,942884,1943798
개봉프라자,942651,1944945
고척골목시장상점가,943707,1945131
고척근린시장,942617,1945007
고척프라자,943676,1945131
구로시장,945684,1943487
그라운드고척 골목형상점가,944077,1944716
남구로시장,945639,1943650
오류버들시장 골목형상점가,941737,1943710
오류시장,941970,1944335
극동종합상가 골목형상점가,946029,1943680
오류골먹자골목 골목형상점가,942020,1944374
대명여울빛거리시장,947094,1939622
독산동 맛나는거리상점가,946829,1941319
독산동 우시장,946614,1941017
법원단지길 상점가,947398,1940199
별빛남문시장,946984,1941784
비단길현대시장,947321,1940236
아름다운 별장거리,947663,1939133
은행나무시장,947758,1939293
정훈한마음골목시장,947205,1940773
천리단길 상점가,946715,1939717
남서울상가,947624,1946956
대림중앙골목형상점가,946767,1943729
대림중앙시장,946933,1943760
대신시장,948543,1945907
도림시장,946822,1945787
동남상가,947477,1946970
로타리상가,947495,1946948
삼구시장,947499,1946946
샛강두리골목형상점가,948520,1946039
선유도역골목형상점가,946445,1948796
선유로운골목형상점가,946511,1949020
신동시장,947816,1945370
영등포로타리지하도상가,947495,1946678
영등포시장기계공구상가,947901,1946823
영등포시장지하도상가,947514,1946880
영등포역지하도상가,947565,1946517
영등포유통상가,946446,1947192
영등포전통시장,947725,1947002
영등포청과시장,946966,1947113
영신상가,947580,1946898
영일시장,947040,1946481
우리시장,947413,1944303
제일상가,947541,1946906
강남시장,951689,1944322
남성사계시장(남성시장),954201,1943356
남성역골목시장,953348,1942770
노량진수산시장골목형상점가,950316,1946310
만양로상점가,950953,1946026
보라매다올길골목형상점가,948801,1944517
본동인정시장,951560,1946022
사당1동먹자골목상점가,954077,1942261
사당시장,953582,1942755
상도도깨비골목형상점가,950196,1945017
상도약수골목형상점가,950800,1944505
상도전통시장,951568,1944531
성대시장,949772,1944673
성대전통시장,949685,1944590
신노량진시장,950450,1945623
이수미로 골목형상점가,954142,1943249
노량진 만나로 골목형상점가,950903,1945958
숭실마루길 골목형상점가,952041,1944104
신대방1동 온누리길 골목형상점가,947718,1943634
흑석시장 골목형상점가,952528,1945430
강남골목시장,947383,1942773
관악신사시장,948466,1943219
관악종합시장,949424,1942644
관악중부시장,951866,1942929
난곡골목형상점가,951528,1942276
남현동 예술인마을 골목형상점가,954097,1941921
녹두 골목형상점가,950367,1941300
녹두S밸리 골목형상점가,950208,1941173
미성동도깨비시장,948398,1941846
봉리단길 골목형상점가,950765,1942608
봉일시장,950352,1943120
봉천달빛길 골목형상점가,950818,1942745
봉천제일종합시장,950886,1942595
봉천중앙시장,951746,1942884
봉천현대시장,951076,1943143
삼성동시장,949819,1941353
서림 행복가득한 골목형상점가,950257,1941993
서원동상점가,949453,1942547
신림종합시장,948465,1942982
신림중앙시장,947964,1942826
신림현대종합상가,949778,1941907
신신림시장,949796,1941447
신원시장,949375,1942691
우림시장,948802,1941405
원당종합시장,952773,1941821
인헌시장,952737,1941792
조원동펭귄시장,947925,1942788
행운담길 골목형상점가,952105,1942450
신림별빛거리 골목형상점가,949230,1943395
강남터미널지하도상점가(고투몰),956245,1945315
고속터미널역지하철역상점가(엔터식스 강남점),956238,1945179
남부종합시장,954460,1944096
말죽거리 골목형상점가,959205,1942724
서초쇼핑 골목형상점가,957348,1944627
양재시장,959152,1942892
강남개포시장,961760,1943342
강남시장,951689,1944322
강남언주로 상가,959563,1945213
강남역지하도상점,959193,1944765
논현종합시장,958883,1945740
도곡시장,960223,1944329
신사시장,958332,1948212
영동전통시장,957917,1945741
은마종합상점,961525,1944420
청담삼익시장,960919,1947092
가락골골목형상점가,966388,1944199
가락몰 골목형상점가,965733,1943847
마천시장관리주식회사,969115,1944394
마천중앙시장,969085,1944289
문정동로데오거리상점가,966751,1943389
방이시장,966226,1945701
새마을시장,963410,1945578
석촌시장,965220,1944619
풍납시장,966223,1948814
잠실역지하쇼핑센터,964702,1946106
고덕골목형상점가,970757,1951010
고분다리전통시장,967485,1949305
길동복조리시장,968532,1948924
둔촌역전통시장,967831,1947779
명일전통시장,968603,1950112
성내전통시장,967119,1948363
암사종합시장,967159,1950267
장신구거리,967236,1947619
천호로데오거리상점가,967111,1948972
