시장명,X,Y,점수
광장시장,199906.8314913029,552277.9446492164,5.171987352064928
광장전통시장,200001.01455411574,552250.4348730834,5.128309798302614
낙원악기상가,198940.66796572373,552613.9363491738,7.10717145753111
동대문문구·완구거리,201276.66821081465,552409.2821761387,5.207729975521011
동대문상가A동,200939.24277661392,552276.4354137254,6.457080500826593
동대문상가B동,201054.27388156203,552279.0482810537,6.278258480289537
동대문상가C동,201180.28770469944,552285.7211546518,5.3232183715380454
동대문상가D동(일신파워빌딩),201294.32912236944,552286.3279739405,5.236343108211395
동대문종합시장,200726.95825105184,552314.3210926644,6.428879948762854
동대문종합시장D동,200608.68656295966,552356.7085709316,8.46204458983773
동대문종합시장신관,200788.97542110767,552315.6514819338,6.311594641554615
동대문지하쇼핑센터,200842.98436922824,552317.9396501661,6.505048286754921
동묘시장,201619.60127310452,552447.1210975789,3.8392182574825466
동문시장,200999.92957191568,552339.7829870996,7.53297626176265
마전교지하쇼핑센터,200175.89693459045,552285.3787006012,5.472390195049045
보령약국골목상가,199982.75215729256,552486.429802992,6.145331680483782
북촌계동길 골목형상점가,198872.8277665026,553330.8543080929,2.899587510812723
삼청정독길 골목형상점가,198318.41567963455,553179.8461259297,2.5498429477562157
세운상가가동,199577.12732305677,552198.1598728015,5.333997288892976
세종마을음식문화거리,197540.1203742475,552990.6323027426,3.8436479576197238
신설종합시장,201797.0219246471,552569.1126532435,4.200237772735546
종각지하쇼핑센터,198744.1562354507,552319.7766737444,4.917866096067965
종로4가지하쇼핑센터,199810.9724145749,552244.4217062644,4.576438881485865
종로신진시장,200436.93294208133,552297.7719842603,7.630418213160837
종오지하쇼핑센터,199990.49460444527,552347.4167534916,6.084436486446595
창신골목시장,201051.6446390933,552585.1540702824,5.472741363984254
충신시장,200480.22410241398,552810.2024369378,5.562626264742927
통인시장,197345.50653741605,553467.7817843324,1.8834764257095076
한일상가,200264.93449393663,552284.8520831864,5.847635007773047
종로신백제 골목형상점가,200432.28207957238,552419.7949096533,8.641224582943213
Team204 (팀204),201166.69812911193,552019.5446894192,4.4785811388405055
광희패션몰,201053.2525631342,552094.9708224884,4.732623468478071
남대문로 지하상가,198048.43906312116,551275.6710094544,6.4911142723984545
남대문시장,198038.6644294651,551044.5293477522,5.587690506412111
남평화시장,200956.75994728456,552180.4910554382,5.4877858730681695
대림상가,199603.65333786496,551913.1899074994,4.4648382726858715
동평화시장,201231.6894833723,552213.9664683553,4.900635090582485
동화동 골목형상점가,201524.0255219987,551420.2103831624,4.617840046019252
동화상가,200629.50823015568,552203.7595463751,5.648743277697811
명동남산골 골목형상점가,198797.2674338524,550986.5407807421,4.296987054952293
명동역지하도상가,198729.65775904516,551284.2970119489,6.594748919509975
명동지하쇼핑센터,198365.137889874,551543.4591767044,5.6673314245310555
방산시장,199970.33899467502,551999.1736937638,4.44628896109066
방산종합시장,200072.69496968863,552127.7682700831,4.744991989174174
백학시장,201733.77172824828,551671.424295985,5.268557890739349
벨포스트 (舊에리어식스),201056.44527143214,552058.973718617,4.443549806106258
삼익패션타운,198141.9781066638,551181.1317493413,5.870073300731102
서울중앙시장,201745.12649077145,551981.6062845817,4.146448081609185
소공지하도상가,198194.54445154584,551642.5904083675,4.724299063784549
숭례문수입상가,197900.32209199993,551098.8147459696,5.574563740748106
시청광장 지하쇼핑센터,198604.35125547316,551896.8686974425,4.971056016406832
신당 미래유산 먹거리 골목형상점가,201332.59951082288,551486.2182236878,4.813929616320748
신당오길 골목형상점가,201861.82895499383,551670.1048234102,4.527514713408163
신중부시장,200076.48941691263,551790.6569052418,5.191935986131642
신중앙시장,201745.12649077145,551981.6062845817,4.146448081609185
신평화패션타운,201022.62954470993,552209.8528936028,5.6892062643152155
아트프라자,201139.83704163268,552179.4644127514,5.270168422186071
약수시장 골목형상점가,200972.97473054117,550448.8999272508,5.500774580504475
을지로지하보도쇼핑센터,198882.8879478506,551816.318785813,5.369237204047984
을지입구지하상가,198571.74919462053,551819.6653014624,5.485900141205148
인현시장,199596.36921756802,551590.0252313431,4.181827845676593
자유상가,198244.40317542915,551296.7212985893,5.6943090560834495
장충남소영길 골목형상점가,200052.75827364012,550610.0700479207,0.9348387042075861
제일평화시장,201005.13400219075,552113.7222277622,5.013739450616665
중부시장,200160.9349797608,551713.0757429493,5.604701694944494
청계5가쇼핑센터,200208.42484772,552188.5139030912,4.899283692871288
청계6가 지하도상가,200854.70163471522,552183.9495751939,5.136836400721945
청계상가,199586.92367379417,552049.1539127458,4.745107902557226
청계천공구상가,199223.7871920986,552048.2221274385,6.290356204449483
청평화시장,201319.71081278735,552216.4356101906,4.5914140778431705
충무로 골목형상점가,199540.15757691982,551437.6669220923,4.857547209236879
충정로56출구 골목형상점가,196761.15259538233,551047.7372207699,3.997885509557244
테크노상가,201169.0338745366,552144.6060623523,4.96277110880361
통일상가,200546.75492243614,552151.2988936118,5.563083114910529
평화시장,200713.49079069702,552213.2099335614,5.293489323322815
필동 골목형상점가,199673.76461497106,551145.2634812251,3.505101421727118
황학동주방가구거리 상점가,201445.05996120977,551972.0065830227,4.183056033573797
황학시장,201805.36122960725,551941.911086059,4.209740695791329
